name,adm0_a3,lat,lng
Athens,GRC,37.98332623,23.73332108
Saint George's,GRD,12.0526334,-61.74164323
Guatemala,GTM,14.62113466,-90.52696558
Georgetown,GUY,6.801973693,-58.16702865
Hong Kong,HKG,22.3049809,114.1850093
Tegucigalpa,HND,14.1020449,-87.21752934
Zagreb,HRV,45.80000673,15.99999467
Port-au-Prince,HTI,18.5410246,-72.33603459
Budapest,HUN,47.50000633,19.08332068
Jakarta,IDN,-6.174417705,106.8294376
Mumbai,IND,19.01699038,72.8569893
Dublin,IRL,53.33306114,-6.248905682
Tehran,IRN,35.67194277,51.42434403
Baghdad,IRQ,33.3386485,44.39386877
Reykjavik,ISL,64.15002362,-21.95001449
Tel Aviv-Yafo,ISR,32.07999147,34.77001176
Rome,ITA,41.89595563,12.48325842
Kingston,JAM,17.97707662,-76.76743371
Amman,JOR,31.95002525,35.93329993
Tokyo,JPN,35.68501691,139.7514074
Astana,KAZ,51.1811253,71.42777421
Nairobi,KEN,-1.283346742,36.81665686
Bishkek,KGZ,42.87307945,74.58520422
Phnom Penh,KHM,11.55003013,104.9166345
Tarawa,KIR,1.338187506,173.0175708
Basseterre,KNA,17.30203046,-62.71700932
Seoul,KOR,37.5663491,126.999731
Pristina,KOS,42.66670961,21.16598425
Kuwait,KWT,29.36971763,47.97830115
Vientiane,LAO,17.96669273,102.59998
Beirut,LBN,33.87197512,35.50970821
Monrovia,LBR,6.31055666,-10.80475163
Tripoli,LBY,32.89250002,13.18001176
Castries,LCA,14.00197349,-61.00000818
Vaduz,LIE,47.13372377,9.516669473
Colombo,LKA,6.931965758,79.85775061
Maseru,LSO,-29.31667438,27.48327307
Vilnius,LTU,54.68336631,25.31663529
Luxembourg,LUX,49.61166038,6.130002806
Riga,LVA,56.95002382,24.09996537
Casablanca,MAR,33.59997622,-7.616367433
Monaco,MCO,43.73964569,7.406913173
Chisinau,MDA,47.00502362,28.85771114
Antananarivo,MDG,-18.91663735,47.5166239
Male,MDV,4.16670819,73.49994747
Mexico City,MEX,19.44244244,-99.1309882
Majuro,MHL,7.103004311,171.3800002
Skopje,MKD,42.00000612,21.43346147
Bamako,MLI,12.65001467,-8.000039105
Valletta,MLT,35.89973248,14.51471065
Rangoon,MMR,16.7833541,96.16667761
Podgorica,MNE,42.46597251,19.26630692
Ulaanbaatar,MNG,47.9166734,106.9166158
Maputo,MOZ,-25.95527749,32.58916296
Nouakchott,MRT,18.08642702,-15.97534041
Port Louis,MUS,-20.16663857,57.49999385
Lilongwe,MWI,-13.98329507,33.78330196
Kuala Lumpur,MYS,3.166665872,101.6999833
Windhoek,NAM,-22.57000608,17.0835461
Niamey,NER,13.51670595,2.116656045
Lagos,NGA,6.443261653,3.391531071
Managua,NIC,12.15301658,-86.26849166
The Hague,NLD,52.08003684,4.269961302
Oslo,NOR,59.91669029,10.74997921
Kathmandu,NPL,27.71669191,85.31664221
Auckland,NZL,-36.850013,174.7649808
Muscat,OMN,23.61332481,58.59331213
Islamabad,PAK,33.69999595,73.16663448
Panama City,PAN,8.96801719,-79.53303715
Lima,PER,-12.04801268,-77.05006209
Manila,PHL,14.60415895,120.9822172
Melekeok,PLW,7.487396173,134.6265485
Port Moresby,PNG,-9.464707826,147.1925036
Warsaw,POL,52.25000063,20.99999955
Pyongyang,PRK,39.0194387,125.7546907
Lisbon,PRT,38.72272288,-9.144866305
Asuncion,PRY,-25.29640298,-57.64150517
Doha,QAT,25.28655601,51.53296789
Bucharest,ROU,44.4333718,26.09994665
Moscow,RUS,55.75216412,37.61552283
Kigali,RWA,-1.953590069,30.06053178
Bir Lehlou,SAH,26.11916669,-9.652522218
Riyadh,SAU,24.64083315,46.77274166
Khartoum,SDN,15.58807823,32.53417924
Dakar,SEN,14.71583173,-17.47313013
Singapore,SGP,1.293033466,103.8558207
Honiara,SLB,-9.437994295,159.9497657
Freetown,SLE,8.470011412,-13.23421574
San Salvador,SLV,13.71000165,-89.20304122
San Marino,SMR,43.91715008,12.46667029
Hargeysa,SOL,9.560022399,44.06531002
Mogadishu,SOM,2.066681334,45.36667761
Belgrade,SRB,44.81864545,20.46799068
Juba,SSD,4.829975198,31.58002559
Sao Tome,STP,0.333402119,6.733325153
Paramaribo,SUR,5.83503013,-55.16703089
Bratislava,SVK,48.15001833,17.11698075
Ljubljana,SVN,46.05528831,14.51496903
Stockholm,SWE,59.35075995,18.09733473
Mbabane,SWZ,-26.31665078,31.13333451
Victoria,SYC,-4.616631654,55.44998979
Damascus,SYR,33.500034,36.29999589
Ndjamena,TCD,12.11309654,15.04914831
Lome,TGO,6.131937072,1.222757119
Bangkok,THA,13.74999921,100.5166447
Dushanbe,TJK,38.56003522,68.77387935
Ashgabat,TKM,37.94999493,58.38329911
Dili,TLS,-8.559388409,125.5794559
Nukualofa,TON,-21.13851236,-175.2205645
Port-of-Spain,TTO,10.65199709,-61.51703089
Tunis,TUN,36.80277814,10.1796781
Istanbul,TUR,41.10499615,29.01000159
Funafuti,TUV,-8.516651999,179.2166471
Taipei,TWN,25.03583333,121.5683333
Dar es Salaam,TZA,-6.800012595,39.26834184
Kampala,UGA,0.316658955,32.58332353
Kiev,UKR,50.43336733,30.51662797
Montevideo,URY,-34.85804157,-56.17105229
New York,USA,40.74997906,-73.98001693
Tashkent,UZB,41.31170188,69.29493282
Vatican City,VAT,41.90001223,12.44780839
Kingstown,VCT,13.14827883,-61.21206242
Caracas,VEN,10.50099855,-66.91703719
Hanoi,VNM,21.03332725,105.8500142
Port-Vila,VUT,-17.7333504,168.3166406
Apia,WSM,-13.84154504,-171.7386416
Sanaa,YEM,15.3547333,44.20659338
Johannesburg,ZAF,-26.17004474,28.03000972
Lusaka,ZMB,-15.41664427,28.28332759
Harare,ZWE,-17.81778969,31.04470943
